Id,OppPerceel,OppBG,Opp1e,Opp2e,OppKelder,OppGarage,OppOprit,OppTerras,OppBaksteen,Slaapkamers,OpenHaard,Bouwjaar,Verbouwjaar,VerkoopJaar,VerkoopMaand,Kwaliteit,Conditie,VerkoopOmst,VerkoopPrijs
1,8450,1710,856,854,856,548,65,0,196,3,0,2003,2003,2008,2,7,5,Normaal,208500
2,9600,1262,1262,0,1262,460,80,298,0,3,1,1976,1976,2007,5,6,8,Normaal,181500
3,11250,1786,920,866,920,608,68,0,162,3,1,2001,2002,2008,9,7,5,Normaal,223500
4,9550,1717,961,756,756,642,60,0,0,3,1,1915,1970,2006,2,7,5,Abnormaal,140000
5,14260,2198,1145,1053,1145,836,84,192,350,4,1,2000,2000,2008,12,8,5,Normaal,250000
6,14115,1362,796,566,796,480,85,40,0,1,0,1993,1995,2009,10,5,5,Normaal,143000
7,10084,1694,1694,0,1686,636,75,255,186,3,1,2004,2005,2007,8,8,5,Normaal,307000
8,10382,2090,1107,983,1107,484,NA,235,240,3,2,1973,1973,2009,11,7,6,Normaal,200000
9,6120,1774,1022,752,952,468,51,90,0,2,2,1931,1950,2008,4,7,5,Abnormaal,129900
10,7420,1077,1077,0,991,205,50,0,0,2,2,1939,1950,2008,1,5,6,Normaal,118000
11,11200,1040,1040,0,1040,384,70,0,0,3,0,1965,1965,2008,2,5,5,Normaal,129500
12,11924,2324,1182,1142,1175,736,85,147,286,4,2,2005,2006,2006,7,9,5,NietAf,345000
13,12968,912,912,0,912,352,NA,140,0,2,0,1962,1962,2008,9,5,6,Normaal,144000
14,10652,1494,1494,0,1494,840,91,160,306,3,1,2006,2007,2007,8,7,5,NietAf,279500
15,10920,1253,1253,0,1253,352,NA,0,212,2,1,1960,1960,2008,5,6,5,Normaal,157000
16,6120,854,854,0,832,576,51,48,0,2,0,1929,2001,2007,7,7,8,Normaal,132000
17,11241,1004,1004,0,1004,480,NA,0,180,2,1,1970,1970,2010,3,6,7,Normaal,149000
18,10791,1296,1296,0,0,516,72,0,0,2,0,1967,1967,2006,10,4,5,Normaal,90000
19,13695,1114,1114,0,1114,576,66,0,0,3,0,2004,2004,2008,6,5,5,Normaal,159000
20,7560,1339,1339,0,1029,294,70,0,0,3,0,1958,1965,2009,5,5,6,Abnormaal,139000
21,14215,2376,1158,1218,1158,853,101,240,380,4,1,2005,2006,2006,11,8,5,NietAf,325300
22,7449,1108,1108,0,637,280,57,0,0,3,1,1930,1950,2007,6,7,7,Normaal,139400
23,9742,1795,1795,0,1777,534,75,171,281,3,1,2002,2002,2008,9,8,5,Normaal,230000
24,4224,1060,1060,0,1040,572,44,100,0,3,1,1976,1976,2007,6,5,7,Normaal,129900
25,8246,1060,1060,0,1060,270,NA,406,0,3,1,1968,2001,2010,5,5,8,Normaal,154000
26,14230,1600,1600,0,1566,890,110,0,640,3,1,2007,2007,2009,7,8,5,Normaal,256300
27,7200,900,900,0,900,576,60,222,0,3,0,1951,2000,2010,5,5,7,Normaal,134800
28,11478,1704,1704,0,1704,772,98,0,200,3,1,2007,2008,2010,5,8,5,Normaal,306000
29,16321,1600,1600,0,1484,319,47,288,0,2,2,1957,1997,2006,12,5,6,Normaal,207500
30,6324,520,520,0,520,240,60,49,0,1,0,1927,1950,2008,5,4,6,Normaal,68500
31,8500,1317,649,668,649,250,50,0,0,3,0,1920,1950,2008,7,4,4,Normaal,40000
32,8544,1228,1228,0,1228,271,NA,0,0,3,0,1966,2006,2008,6,5,6,Normaal,149350
33,11049,1234,1234,0,1234,484,85,0,0,3,0,2007,2007,2008,1,8,5,Normaal,179900
34,10552,1700,1700,0,1398,447,70,0,0,4,1,1959,1959,2010,4,5,5,Normaal,165500
35,7313,1561,1561,0,1561,556,60,203,246,2,1,2005,2005,2007,8,9,5,Normaal,277500
36,13418,2452,1132,1320,1117,691,108,113,132,4,1,2004,2005,2006,9,8,5,Normaal,309000
37,10859,1097,1097,0,1097,672,112,392,0,3,0,1994,1995,2009,6,5,5,Normaal,145000
38,8532,1297,1297,0,1297,498,74,0,650,3,1,1954,1990,2009,10,5,6,Normaal,153000
39,7922,1057,1057,0,1057,246,68,0,0,3,0,1953,2007,2010,1,5,7,Abnormaal,109000
40,6040,1152,1152,0,0,0,65,0,0,2,0,1955,1955,2008,6,4,5,AanlLand,82000
41,8658,1324,1324,0,1088,440,84,0,101,3,1,1965,1965,2006,12,6,5,Abnormaal,160000
42,16905,1328,1328,0,1350,308,115,0,0,2,2,1959,1959,2007,7,5,6,Normaal,170000
43,9180,884,884,0,840,504,NA,240,0,2,0,1983,1983,2007,12,5,7,Normaal,144000
44,9200,938,938,0,938,308,NA,145,0,3,0,1975,1980,2008,7,5,6,Normaal,130250
45,7945,1150,1150,0,1150,300,70,0,0,3,0,1959,1959,2006,5,5,6,Normaal,141000
46,7658,1752,1752,0,1752,576,61,196,412,2,1,2005,2005,2010,2,9,5,Normaal,319900
47,12822,2149,1518,631,1434,670,48,168,0,1,1,2003,2003,2009,8,7,5,Abnormaal,239686
